,HDI,Year,intersection,climate,health,sum,Sector
0,HIGH HUMAN DEVELOPMENT,2018,0.0,0.0,0.0,0.0,Health Care Equipment & Ser...
1,HIGH HUMAN DEVELOPMENT,2019,0.0,0.0,0.0,0.0,Health Care Equipment & Ser...
2,HIGH HUMAN DEVELOPMENT,2021,11.0,10.0,31.0,52.0,Health Care Equipment & Ser...
