Year,total_docs,hits,documents,prop_doct
2011,15,0,0,0.0
2012,17,0,0,0.0
2013,15,0,0,0.0
2014,11,0,0,0.0
2015,11,1,1,0.09
2016,17,0,0,0.0
2017,14,0,0,0.0
2018,19,0,0,0.0
2019,20,6,3,0.15
2020,28,3,3,0.11
2021,71,8,6,0.08
