,Year,Intersection (Prop)
0,2011,0.15
1,2012,0.14
2,2013,0.12
3,2014,0.1
4,2015,0.1
5,2016,0.14
6,2017,0.1
7,2018,0.15
8,2019,0.17
9,2020,0.23
10,2021,0.26
