,HDI,Year,intersection,climate,health,sum,Sector
0,VERY HIGH HUMAN DEVELOPMENT,2013,0.0,5.0,201.0,206.0,Health Care Equipment & Ser...
1,VERY HIGH HUMAN DEVELOPMENT,2014,0.0,10.0,498.0,508.0,Health Care Equipment & Ser...
2,VERY HIGH HUMAN DEVELOPMENT,2015,0.0,0.0,312.0,312.0,Health Care Equipment & Ser...
3,VERY HIGH HUMAN DEVELOPMENT,2018,0.0,1.0,238.0,239.0,Health Care Equipment & Ser...
4,VERY HIGH HUMAN DEVELOPMENT,2021,12.0,6.0,652.0,670.0,Health Care Equipment & Ser...
