,Year,Intersection (Prop)
0,2011,0.21
1,2012,0.16
2,2013,0.11
3,2014,0.18
4,2015,0.07
5,2016,0.12
6,2017,0.18
7,2018,0.19
8,2019,0.2
9,2020,0.24
10,2021,0.43
